Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C mineralization,mg CO2/C kg/ Corg d,0 cm - 1 cm,-19.05%,Decrease,0.51,3,0.09,0.63,3,0.16,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,qCO2,mg CO2 - C/ g Cmic/h,0 cm - 1 cm,50.00%,Increase,0.66,3,0.6,0.44,3,0.14,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,mineralizable C,C g/kg,0 cm - 1 cm,-77.97%,Decrease,4.34,3,1.84,19.7,3,14.4,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of labile C,days,0 cm - 1 cm,-47.88%,Decrease,31.9,3,12.1,61.2,3,18.2,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of recalcitrant C,years,0 cm - 1 cm,-89.29%,Decrease,8.32,3,0.74,77.7,3,114,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Microbe,C,C g/kg,0 cm - 1 cm,-52.83%,Decrease,7.5,3,4.7,15.9,3,2.3,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,K2SO4,C g/kg,0 cm - 1 cm,-20.59%,Decrease,8.1,3,2.4,10.2,3,1.1,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,beta-glucosidase,umol PNP/g/h,0 cm - 1 cm,-56.83%,Decrease,13.9,3,4.6,32.2,3,4.9,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,soil water content,%,1 cm - 2 cm,-27.22%,Decrease,78.6,3,36,108,3,46,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,SOC,g/kg,1 cm - 2 cm,-39.19%,Decrease,135,3,28,222,3,28,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,N,g/kg,1 cm - 2 cm,-27.81%,Decrease,13.5,3,3.9,18.7,3,5.1,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C:N,ratio,1 cm - 2 cm,-16.53%,Decrease,10.1,3,0.5,12.1,3,1.8,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C loss,% of SOC,1 cm - 2 cm,-10.23%,Decrease,7.11,3,0.3,7.92,3,1.4,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C-CO2 efflux,mg/kg/day (average 141 days),1 cm - 2 cm,-45.98%,Decrease,67.8,3,14.9,125.5,3,34.5,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C mineralization,mg CO2/C kg/ Corg d,1 cm - 2 cm,-10.71%,Decrease,0.5,3,0.02,0.56,3,0.1,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,qCO2,mg CO2 - C/ g Cmic/h,1 cm - 2 cm,-22.73%,Decrease,0.34,3,0.12,0.44,3,0.17,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,mineralizable C,C g/kg,1 cm - 2 cm,-84.67%,Decrease,3.51,3,1.04,22.9,3,23.4,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of labile C,days,1 cm - 2 cm,-42.62%,Decrease,59.1,3,31.6,103,3,95.5,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of recalcitrant C,years,1 cm - 2 cm,177.46%,Increase,7.88,3,2.02,2.84,3,8.76,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Microbe,C,C g/kg,1 cm - 2 cm,-34.35%,Decrease,8.6,3,2.2,13.1,3,5.5,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,K2SO4,C g/kg,1 cm - 2 cm,-32.53%,Decrease,5.6,3,1.7,8.3,3,2,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,beta-glucosidase,umol PNP/g/h,1 cm - 2 cm,-37.55%,Decrease,15.3,3,8.5,24.5,3,4.2,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,soil water content,%,2 cm - 3 cm,-29.93%,Decrease,59,3,14,84.2,3,39,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,SOC,g/kg,2 cm - 3 cm,-40.88%,Decrease,107,3,15,181,3,34,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,N,g/kg,2 cm - 3 cm,-26.97%,Decrease,11.1,3,1.5,15.2,3,4.6,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C:N,ratio,2 cm - 3 cm,-19.83%,Decrease,9.7,3,0.1,12.1,3,1.4,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C loss,% of SOC,2 cm - 3 cm,-36.11%,Decrease,4.83,3,1,7.56,3,1.9,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C-CO2 efflux,mg/kg/day (average 141 days),2 cm - 3 cm,-62.65%,Decrease,37.2,3,11.2,99.6,3,43.6,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C mineralization,mg CO2/C kg/ Corg d,2 cm - 3 cm,-37.04%,Decrease,0.34,3,0.07,0.54,3,0.14,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,qCO2,mg CO2 - C/ g Cmic/h,2 cm - 3 cm,-56.25%,Decrease,0.21,3,0.11,0.48,3,0.22,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,mineralizable C,C g/kg,2 cm - 3 cm,-93.60%,Decrease,2.29,3,0.91,35.8,3,47.5,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of labile C,days,2 cm - 3 cm,-72.99%,Decrease,44.3,3,22.8,164,3,194,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,residence time of recalcitrant C,years,2 cm - 3 cm,302.02%,Increase,19.9,3,4.68,4.95,3,6.22,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Microbe,C,C g/kg,2 cm - 3 cm,-10.11%,Decrease,8,3,3.2,8.9,3,1.9,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,K2SO4,C g/kg,2 cm - 3 cm,-31.67%,Decrease,4.1,3,1.2,6,3,2.3,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,beta-glucosidase,umol PNP/g/h,2 cm - 3 cm,-53.88%,Decrease,9.5,3,1.2,20.6,3,5.2,Europe,Spain
Burgoyne and DeLuca 2009,Forest,Prescribed Burn,11% duff consupmtion and 10 % mortality,,3,N,0.05,biogeochemical,Plant,nitrogen fixation,nmol/g/d,root,-40.00%,Decrease,0.03,3,0.02,0.05,3,0.01,MW,Montana
Burgoyne and DeLuca 2009,Forest,Thinning,Reduced stand basal area from 22 m^2/ha to 11 m^2/ha,,4,N,0.05,biogeochemical,Plant,nitrogen fixation,nmol/g/d,root,-40.00%,Decrease,0.03,3,0.02,0.05,3,0.01,MW,Montana
Burgoyne and DeLuca 2009,Forest,Prescribed Burn,11% duff consupmtion and 10 % mortality,,3,N,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,,-9.09%,Decrease,0.1,3,0.04,0.11,3,0.03,MW,Montana
Burgoyne and DeLuca 2009,Forest,Thinning,Reduced stand basal area from 22 m^2/ha to 11 m^2/ha,,4,N,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,,-9.09%,Decrease,0.1,3,0.04,0.11,3,0.03,MW,Montana
Burgoyne and DeLuca 2009,Forest,Prescribed Burn,11% duff consupmtion and 10 % mortality,,4,N,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,,0.00%,Decrease,0.05,3,0.03,0.05,3,0.02,MW,Montana
Burgoyne and DeLuca 2009,Forest,Thinning,Reduced stand basal area from 22 m^2/ha to 11 m^2/ha,,5,N,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,,-20.00%,Decrease,0.04,3,0.02,0.05,3,0.02,MW,Montana
Burgoyne and DeLuca 2009,Forest,Prescribed Burn,11% duff consupmtion and 10 % mortality,,4,Y,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,crusts,-71.82%,Decrease,0.31,3,0.16,1.1,3,0.36,MW,Montana
Burgoyne and DeLuca 2009,Forest,Thinning,Reduced stand basal area from 22 m^2/ha to 11 m^2/ha,,5,Y,0.05,biogeochemical,Soil,nitrogen fixation,nmol/g/d,crusts,-68.18%,Decrease,0.35,3,0.18,1.1,3,0.36,MW,Montana
Ficken and Wright 2017,Forest,Prescribed Burn,612C +/- 18,,,Not Stated,,biogeochemical,Soil,ammonium,ug/gds,,234.94%,Increase,2.78,6,1.62,0.83,6,0.29,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,612C +/- 18,,,Not Stated,,biogeochemical,Soil,nitrate,ug/gds,,15.15%,Increase,4.18,6,1.76,3.63,6,0.78,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,612C +/- 18,,,Not Stated,,biogeochemical,Soil,delta 15 N,�,,-19.10%,Decrease,3.22,6,0.5,3.98,6,0.64,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,612C +/- 18,,,Not Stated,,biogeochemical,Soil,N,%,,-8.20%,Decrease,0.56,6,0.12,0.61,6,0.18,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,Not Measured (unplanned wildfire),,,Not Stated,,biogeochemical,Soil,ammonium,ug/gds,,469.23%,Increase,5.18,6,2.21,0.91,6,0.24,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,Not Measured (unplanned wildfire),,,Not Stated,,biogeochemical,Soil,nitrate,ug/gds,,-35.25%,Decrease,1.69,6,0.65,2.61,6,0.63,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,Not Measured (unplanned wildfire),,,Not Stated,,biogeochemical,Soil,delta 15 N,�,,-8.24%,Decrease,2.45,6,0.24,2.67,6,0.57,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,Not Measured (unplanned wildfire),,,Not Stated,,biogeochemical,Soil,N,%,,-5.26%,Decrease,0.18,6,0.02,0.19,6,0.04,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,635C +/- 18,,,Not Stated,,biogeochemical,Soil,ammonium,ug/gds,,3433.33%,Increase,29.68,6,6.03,0.84,6,0.31,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,635C +/- 18,,,Not Stated,,biogeochemical,Soil,nitrate,ug/gds,,70.07%,Increase,4.66,6,1.35,2.74,6,0.63,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,635C +/- 18,,,Not Stated,,biogeochemical,Soil,delta 15 N,�,,89.78%,Increase,2.6,6,0.93,1.37,6,0.36,SE,North Carolina
Ficken and Wright 2017,Forest,Prescribed Burn,635C +/- 18,,,Not Stated,,biogeochemical,Soil,N,%,,-44.44%,Decrease,0.3,6,0.11,0.54,6,0.2,SE,North Carolina
Johnson et al 2009,Forest,Prescribed Burn,varied (review chapter),,,,,biogeochemical,Soil,N,,,#DIV/0!,#DIV/0!,,,,,,,,
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Ca,mg/kg,sugar maple,143.27%,Increase,9519,37,549,3913,33,191,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Mg,mg/kg,sugar maple,341.95%,Increase,2855,37,113,646,33,39,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,P,mg/kg,sugar maple,11.23%,Increase,1268,37,119,1140,33,61,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,K,mg/kg,sugar maple,-19.90%,Decrease,6133,37,93,7657,33,204,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Al,mg/kg,sugar maple,-22.45%,Decrease,29.7,37,1.1,38.3,33,1.2,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Mn,mg/kg,sugar maple,-85.54%,Decrease,426,37,76,2946,33,221,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Fe,mg/kg,sugar maple,-25.26%,Decrease,43.8,37,1,58.6,33,3.6,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,N,mg/kg,sugar maple,-2.19%,Decrease,18906,37,172,19329,33,356,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Ca,mg/kg,sugar maple,117.74%,Increase,8777,54,474,4031,27,208,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Mg,mg/kg,sugar maple,330.31%,Increase,2655,54,151,617,27,61,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,N,0.1,biogeochemical,Plant,P,mg/kg,sugar maple,28.64%,Increase,1361,54,156,1058,27,50,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.05,biogeochemical,Plant,K,mg/kg,sugar maple,-32.58%,Decrease,4811,54,231,7136,27,261,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Al,mg/kg,sugar maple,-33.85%,Decrease,25.4,54,0.9,38.4,27,1.5,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Mn,mg/kg,sugar maple,-54.95%,Decrease,1148,54,88,2548,27,218,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Fe,mg/kg,sugar maple,-22.60%,Decrease,45.9,54,1.4,59.3,27,3.3,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,N,0.1,biogeochemical,Plant,N,mg/kg,sugar maple,-2.63%,Decrease,15584,54,685,16005,27,302,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.05,biogeochemical,Plant,Ca,mg/kg,black cherry,71.34%,Increase,8485,31,354,4952,33,72.7,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.1,biogeochemical,Plant,Mg,mg/kg,black cherry,105.70%,Increase,4688,31,359,2279,33,1.7,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,P,mg/kg,black cherry,2.90%,Increase,1420,31,27,1380,33,19,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,K,mg/kg,black cherry,-30.41%,Decrease,8226,31,753,11821,33,1038,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,Al,mg/kg,black cherry,13.53%,Increase,30.2,31,4.1,26.6,33,3,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,Y,0.01,biogeochemical,Plant,Mn,mg/kg,black cherry,-70.97%,Decrease,627,31,77,2160,33,70,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,Fe,mg/kg,black cherry,-4.68%,Decrease,50.9,31,0.8,53.4,33,0.9,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,20,N,0.1,biogeochemical,Plant,N,mg/kg,black cherry,-8.37%,Decrease,21972,31,372,23979,33,585,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.01,biogeochemical,Plant,Ca,mg/kg,black cherry,52.91%,Increase,8768,15,256,5734,20,78,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.05,biogeochemical,Plant,Mg,mg/kg,black cherry,101.30%,Increase,3873,15,307,1924,20,38,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,N,0.1,biogeochemical,Plant,P,mg/kg,black cherry,-2.68%,Decrease,1414,15,79,1453,20,42,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.1,biogeochemical,Plant,K,mg/kg,black cherry,-25.97%,Decrease,10186,15,692,13759,20,877,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,N,0.1,biogeochemical,Plant,Al,mg/kg,black cherry,-2.85%,Decrease,27.3,15,1,28.1,20,3.1,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.1,biogeochemical,Plant,Mn,mg/kg,black cherry,-70.05%,Decrease,629,15,208,2100,20,334,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,N,0.1,biogeochemical,Plant,Fe,mg/kg,black cherry,-8.25%,Decrease,55.6,15,1.6,60.6,20,0.9,NE,Pennsylvania
Long et al 2011,Deciduous Forest,Liming,2240 g lime/m2,1,8,Y,0.1,biogeochemical,Plant,N,mg/kg,black cherry,-15.20%,Decrease,21421,15,179,25260,20,1020,NE,Pennsylvania
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,N,0.05,biogeochemical,Soil,C,,,,No change,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,N,0.05,biogeochemical,Soil,N,,,,No change,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,N,0.05,biogeochemical,Microbe,biomass,,,,No change,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,N,0.05,biogeochemical,Soil,litter decay,,,,No change,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,Y,0.05,community composition,Plant,diameter,,,60.00%,Increase,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,Y,0.05,community composition,Plant,cover,,shrub,200.00%,Increase,,,,,,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,Y,0.05,community composition,Plant,biomass,kg/ha,understory,250.00%,Increase,14,3,,4,3,,PNW,Oregon
Busse and Riegel 2005,Forest,Thinning,"Reduced stand basal area of 13.7 m^2/ha, whole tree harvest",,15,Y,0.05,community composition,Plant,species diversity,,,,No change,,,,,,,PNW,Oregon
Cahall et al 2013,Forest,Thinning,180-320 trees/ha thinning,,14,,,community composition,Birds,abundance,number,birds associated with shrubs,,Increase,,,,,,,PNW,Oregon
Cahall et al 2013,Forest,Thinning,180-320 trees/ha thinning,,14,,,community composition,Birds,abundance,number,birds associated with disturbed areas,,No change,,,,,,,PNW,Oregon
Cahall et al 2013,Forest,Thinning,180-320 trees/ha thinning,,14,,,community composition,Birds,abundance,number,birds associated with undisturbed areas,,Decrease,,,,,,,PNW,Oregon
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,community composition,Plant,NPP,T ha/yr,,-8.70%,Decrease,2.1,8,,2.3,8,,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,community composition,Plant,NPP,T ha/yr,,4.35%,Increase,2.4,8,,2.3,8,,NE,Massachussetts
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,community composition,Plant,light availability,,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,nitrate,mg/kg,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,ammonium,mg/kg,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,C,%,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,N,%,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,C:N,%,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,biogeochemical,Soil,pH,,,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,community composition,Plant,cover,%,native,,No change,,10,,,10,,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,community composition,Plant,cover,%,non-native,,No change,,10,,,10,,NE,Pennsylvannia
Cleavitt et al 2011,Deciduous Forest,Carbon Addition,85.8 g Ca/m2,,9,,,community composition,Plant,depth,,litter,,Decrease,,18,,,18,,NE,New Hampshire
Cleavitt et al 2011,Deciduous Forest,Carbon Addition,85.8 g Ca/m2,,9,,,community composition,Plant,survival,,seedling,,Increase,,18,,,18,,NE,New Hampshire
Danneman et al 2006,Forest,Thinning,moderate (60% reduction in mean basal area),,1,Y,Unlisted,biogeochemical,Microbe,N,%,,126.00%,Increase,,72,,,72,,Europe,Germany
Danneman et al 2006,Forest,Thinning,moderate (60% reduction in mean basal area),,5,Y,Unlisted,biogeochemical,Soil,ammonium,%,,136.00%,Increase,,72,,,72,,Europe,Germany
Danneman et al 2006,Forest,Thinning,moderate (60% reduction in mean basal area),,5,Y,Unlisted,biogeochemical,Soil,nitrate,%,,297.00%,Increase,,72,,,72,,Europe,Germany
"Dijkstra et al., 2006",Deciduous Forest,Prescribed Burn,"annual (8 of 10 years, on average, over 40 yr)",,,Y,0.05,biogeochemical,Soil,N,g/m^2 d,,-14.29%,Decrease,90,36,5,105,18,7,MW,Minnesota
Dore et al 2016,Coniferous Forest,Prescribed Burn,,,2,N,,biogeochemical,Plant,C,g/m^2,root,,Decrease,583,3,225,517,3,181,W,California
Forey et al 2015,Deciduous Forest,Liming,635 g/m2,,25,Y,0.0209,biogeochemical,Plant,litter decay,months,,-25.71%,Decrease,16.44,4,0.47,22.13,4,2.37,Europe,France
Hawley et al. (2006),Deciduous Forest,Liming,102 g/m2 wollastonite,,3,Y,0.05,biogeochemical,Soil,pH,,,19.44%,Increase,4.3,5,0.16,3.6,5,0.05,NE,New Hampshire
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Plant,depth,cm,litter,-6.25%,Decrease,1.5,13,0.1,1.6,6,0.2,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Plant,depth,cm,duff,-11.11%,Decrease,0.8,13,0.2,0.9,6,0.2,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Ground cover,cover,%,woodchip,#DIV/0!,No change,0,13,,0,6,,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Ground cover,cover,%,litter,-0.12%,Decrease,85,13,2.8,85.1,6,4,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Ground cover,cover,%,rocks,-0.87%,Decrease,11.4,13,1.3,11.5,6,1.9,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,Y,0.05,community composition,Plant,cover,%,understory,56.41%,Increase,6.1,13,6.15,3.9,6,3.95,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,Y,0.05,community composition,Plant,cover,% of total,non-native,290.00%,Increase,11.7,13,2,3,6,2.9,MW,Colorado
Wolk and Rocca (2009),Coniferous Forest,Thinning,all trees less than 15cm diameter,,3,N,0.05,community composition,Plant,cover,% of total,Rhizomatous,10.40%,Increase,49.9,13,5.8,45.2,6,8.6,MW,Colorado
